test	replications	elapsed	size
data.table	5	0.0479999999997745	1000
gr	5	0.0549999999998363	1000
data.table	5	0.0340000000001055	2000
gr	5	0.0850000000000364	2000
data.table	5	0.0390000000002146	4000
gr	5	0.0600000000004002	4000
data.table	5	0.0500000000001819	8000
gr	5	0.0579999999999927	8000
data.table	5	0.173999999999978	16000
gr	5	0.0660000000002583	16000
data.table	5	0.134000000000015	32000
gr	5	0.0749999999998181	32000
data.table	5	0.240999999999985	64000
gr	5	0.100000000000364	64000
data.table	5	0.494000000000142	128000
gr	5	0.135000000000218	128000
data.table	5	1.05000000000018	256000
gr	5	0.25	256000
data.table	5	1.8090000000002	512000
gr	5	0.463999999999942	512000
data.table	5	4.59800000000041	1024000
gr	5	0.894999999999982	1024000
data.table	5	8.86099999999988	2048000
gr	5	1.72600000000011	2048000
data.table	5	18.4670000000001	4096000
gr	5	3.49699999999984	4096000
