expression	min	median	itr/sec	mem_alloc	gc/sec	n_itr	n_gc	total_time	size	elapsed
data.table	  8.13ms	  8.49ms	117.60657448977007	  1.19MB	0	5	0	 42.52ms	1000	0.008487215000000159
gr	 20.46ms	 33.91ms	32.96919342740933	239.96KB	0	5	0	151.66ms	1000	0.033907887999999886
data.table	  8.74ms	  9ms	111.37035407152578	  1.51MB	0	5	0	 44.9ms	2000	0.009000214999999923
gr	 15.87ms	 16.37ms	60.97508477548988	427.48KB	0	5	0	 82ms	2000	0.016369276999999904
data.table	 10.36ms	 10.64ms	93.59116263575017	  2.09MB	23.39779065893754	4	1	 42.74ms	4000	0.010644309499999949
gr	 43.3ms	 46.82ms	20.075364927474162	634.02KB	0	5	0	249.06ms	4000	0.046820026999999875
data.table	 12.6ms	 13.57ms	73.78565197267746	  3.2MB	0	5	0	 67.76ms	8000	0.013571921000000042
gr	 18.2ms	 18.57ms	53.22728584392776	  1.09MB	0	5	0	 93.94ms	8000	0.018570758999999715
data.table	 22.14ms	 22.94ms	39.53729253507547	  5.65MB	0	5	0	126.46ms	16000	0.022937989999999964
gr	 22.32ms	 22.74ms	43.37318762533028	  2.13MB	0	5	0	115.28ms	16000	0.022739624000000624
data.table	 35.13ms	 36.8ms	26.901084727597315	 10.32MB	0	5	0	185.87ms	32000	0.036798387000000155
gr	 29.57ms	 29.73ms	32.23607202791824	  4.12MB	0	5	0	155.11ms	32000	0.0297275560000001
data.table	 61.99ms	 62.75ms	13.409991424149515	 19.96MB	0	5	0	372.86ms	64000	0.06275377399999993
gr	 43.72ms	 44.22ms	21.125874407335818	  8.52MB	0	5	0	236.68ms	64000	0.04422348099999995
data.table	118.17ms	137.86ms	6.356638724929661	 38.97MB	0	5	0	786.58ms	128000	0.13786358600000037
gr	 70.38ms	 71.68ms	13.664475126262147	 16.28MB	3.4161187815655367	4	1	292.73ms	128000	0.07167651699999977
data.table	241.69ms	261.11ms	3.8214089474563857	 76.05MB	0	5	0	  1.31s	256000	0.26110977300000027
gr	128.6ms	130.15ms	7.450806423131588	 32.09MB	1.862701605782897	4	1	536.86ms	256000	0.1301449520000002
data.table	493.16ms	501.33ms	1.9986863883548336	153.23MB	0.4996715970887084	4	1	  2s	512000	0.5013307505000002
gr	233.63ms	259.98ms	3.9297810839602367	 64.7MB	0.9824452709900592	4	1	  1.02s	512000	0.2599827065000002
data.table	985.18ms	986.01ms	1.0141831325522785	304.75MB	1.521274698828418	2	3	  1.97s	1024000	0.9860152154999999
gr	487.43ms	487.95ms	2.0475957419168145	129MB	1.365063827944543	3	2	  1.47s	1024000	0.48795320099999984
data.table	  2.03s	  2.03s	0.4918577709659106	607.69MB	0.9837155419318212	2	4	  4.07s	2048000	2.033108063
gr	964.22ms	964.22ms	1.037104664711659	257.89MB	4.148418658846636	1	4	964.22ms	2048000	0.9642228349999997
data.table	  5s	  5.26s	0.1826727979504795	  1.19GB	0.6210875130316303	5	17	 27.37s	4096000	5.264526394000001
gr	  2.14s	  2.21s	0.45131250470191464	517.43MB	0.9928875103442122	5	11	 11.08s	4096000	2.212789271
